Brand/Model,Description,prices
Dell G7 i7 ,"Dell GamingDell gaming machines are engineered with the specific, demanding needs of the gaming audi..","                           Rs.144,800.00
                                                 "
Dell inspiron 3476 i7,The ultimate personal theatre experience.Entertainment the way it was intended.CinemaSound: Waves Ma..,"                           Rs.78,800.00
                                                 "
Dell Inspiron 3480,"8th Generation Intel® Core™ i3-8145U, 4 MB Cache, up to 3.9 GHzIntel® HD graphics 620 with shared gr..","                           Rs.48,800.00
                                                 "
Dell Inspiron 3580 8th gen i3,"8th Generation Intel® Core™ i3-8145U, 4 MB Cache, up to 3.9 GHzIntel® HD graphics 620 with shared gr..","                           Rs.52,800.00
                                                 "
Dell inspiron 3583 i5 8th gen,"8th Generation Intel Core i5-8265U Processor (6MB Cache, up to 3.9 GHz),Intel® HD graphics 620 with ..","                           Rs.64,800.00
                                                 "
Dell inspiron 3583 i7 8th gen,"Intel 8th Generation Core i7-8565U (8MB Cache, 1.8 Ghz to 4.60 GHz)Intel® HD graphics 620 with share..","                           Rs.78,800.00
                                                 "
Dell inspiron 3593 10th Gen i5,"10th gen Intel® Core™ i5-1035G1 Processor 6M Cache, up to 3.60 GHzIntel® HD graphics 620 with shared..","                           Rs.80,800.00
                                                 "
Dell inspiron 5567 i7,"Created to complement you.Grab and go: Your Inspiron is crafted to be portable, so you can stay prod..","                           Rs.84,800.00
                                                 "
Dell Inspiron 5770 8th Gen i7,"Fully immersive, completely impressiveClarity on display: Enjoy the crisp detail of a 17.3"" HD+ or a..","                           Rs.120,800.00
                                                 "
Dell Inspiron 7573,"The ultimate personal theater experienceIntroducing Dell Cinema with incredible color, sound and str..","                           Rs.90,800.00
                                                 "
Dell XPS  13 9365 i7 8th Gen,"Real wonder.The revolutionary InfinityEdge display is now available for the first time on a 2-in-1, ..","                           Rs.170,800.00
                                                 "
Dell XPS  13 9365 QHD i5 ,"Real wonder.The revolutionary InfinityEdge display is now available for the first time on a 2-in-1, ..","                           Rs.122,800.00
                                                 "
Dell XPS 13  9360 i7 ,"The ultimate personal theater experienceIntroducing Dell Cinema with incredible color, sound and str..","                           Rs.165,800.00
                                                 "
Dell XPS 13  9360 i7 1TB SSD ,"The ultimate personal theater experienceIntroducing Dell Cinema with incredible color, sound and str..","                           Rs.185,800.00
                                                 "
Dell XPS 13  9370 i5 ,"The ultimate personal theater experienceIntroducing Dell Cinema with incredible color, sound and str..","                           Rs.122,800.00
                                                 "
